﻿NUM_REG;NOMBRE_COMERCIAL;TELEFONO;CALLE;PROVINCIA;LOCALIDAD;MUNICIPIO;CODIGO_POSTAL;NUMERO
24-E1-00127;FERNANDEZ DE LAS MORAS, CARLOS;;CALLE RELOJ (EL);LEON;BAÑEZA (LA);BAÑEZA, LA;24750;16
24-E1-00128;CARRASCO FERNANDEZ, MARIA GLORIA;;CALLE JULIO DEL CAMPO;LEON;LEON;LEÓN;24002;13
24-E1-00143;RODRIGUEZ RODRIGUEZ, RAMON;;PLAZA DOCE MARTIRES;LEON;LEON;LEÓN;;0
24-E1-00145;HERNANDEZ HERRERO, EVA;;CALLE CALLE LA SERNA;LEON;LEON;LEÓN;24006;14
24-E1-00151;ALVAREZ DE BLAS, MARIA JESUS ROSARIO;;AVDA  JOSE MARIA FERNANDEZ;LEON;LEON;LEÓN;24006;38
24-E1-00152;PEREZ HERNANDEZ, CESAR;;AVDA  SAN IGNACIO;LEON;LEON;LEÓN;24010;16
24-E1-00154;TELLEZ VALDES, PATRICIA LOURDES;;CALLE ALFREDO NISTAL;LEON;LEON;LEÓN;24007;10
24-E1-00155;ARGUELLO MAGAZ, BLANCA CAROLINA;;CALLE SANTO TORIBIO DE MOGROVEJO;LEON;LEON;LEÓN;24006;74
24-E1-00162;HOLGUERA FLORES, MARIA DEL PILAR;;AVDA  MARQUESES DE SAN ISIDRO;LEON;LEON;LEÓN;24004;12
24-E1-00169;ALONSO PELAEZ, MARIA LUISA;;CALLE PENDON DE BAEZA;LEON;LEON;LEÓN;24006;8
24-E1-00172;GONZALEZ ALONSO, CARLOS / ALONSO GARCIA, ROSA;;CALLE SANCHO ORDOÑEZ;LEON;LEON;LEÓN;24007;18
24-E1-00175;ALVAREZ SASTRE, MARIA JOSE;;CALLE CONDE TORENO;LEON;LEON;LEÓN;24006;2
24-E1-00178;CASTRO PRIETO, M ELENA;987580750;CALLE PLAZA VICENTE FLÓREZ QUIÑONES;LEON;RIELLO;RIELLO;24127;14
24-E1-00179;LOZANO FERNANDEZ, SUSANA;;CALLE Astorga;LEON;PONFERRADA;PONFERRADA;24400;9
24-E1-00180;FERNANDEZ DIEZ, ALICIA / FERNANDEZ DIEZ, ANA;;AVDA  MARIANO ANDRES;LEON;LEON;LEÓN;;97
09-E1-00086;RICA AYUSO, JESUS / RICA AYUSO, JOSE LUIS;947274820;AVDA  REYES CATOLICOS;BURGOS;BURGOS;BURGOS;09006;10
24-E1-00153;GONZALEZ GONZALEZ, JOSEFINA;;AVDA  PARROCO PABLO DIEZ;LEON;TROBAJO DEL CAMINO;SAN ANDRÉS DEL RABANEDO;24010;42
40-E1-00017;BARTOLOME SANCHEZ, MARIA JESUS;921181171;CALLE MARQUES DE PERALES;SEGOVIA;ESPINAR (EL);ESPINAR, EL;40400;2
40-E1-00018;CARDIEL CARDIEL, MARIA MERCEDES;921178014;CALLE ETREROS;SEGOVIA;SANGARCIA;SANGARCÍA;40134;2
40-E1-00020;BENAVENT ATIENZA, CARLOS;921422141;CALLE JOSE ZORRILLA;SEGOVIA;SEGOVIA;SEGOVIA;40002;117
40-E1-00021;SEISDEDOS MARTIN, ROSARIO;921560287;PLAZA POSITO REAL;SEGOVIA;CARBONERO EL MAYOR;CARBONERO EL MAYOR;40270;1
40-E1-00024;MARTIN ELIO, BEATRIZ;921495049;CALLE MARISCUELA;SEGOVIA;ABADES;ABADES;40141;S/N
