GERENCIA;NOMBRE GERENCIA;CS;CENTRO;CONSULTORIO
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. ARENILLAS DE RIOPISUERGA
1703;Gerencia de León;170318;C.S. MANSILLA MULAS;C.L. VILLAFAÑE
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. HONTANAS
1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;C.L. GALLEGUILLOS
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. PEDROSA DEL PRINCIPE
1703;Gerencia de León;170320;C.S. RIAÑO;C.L. LLANAVES DE LA REINA
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. VILLAVETA
1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;C.L. PEDROSILLO DE ALBA
1702;Gerencia de Burgos;170221;C.S. MIRANDA ESTE;SUZANA
1703;Gerencia de León;170321;C.S. RIBERA DEL ESLA;C.L. VILLALQUITE
1702;Gerencia de Burgos;170223;C.S. PAMPLIEGA;C.L. OLMILLOS DE MUÑO
1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;C.L. URBANIZACION EL ENCINAR
