NOMBRE GERENCIA;CÓDIGO ZONA;NOMBRE ZONA;NOMBRE CENTRO SALUD;MUNICIPIO;PAC
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;ARMUÑA;P.A.C. Segovia Rural
G.A.S. ZAMORA;171107;CAMPOS LAMPREANA;C.S. VILLARRIN;ARQUILLINOS;P.A.C. Villarrín
G.A.S. ZAMORA;171118;VIDRIALES;C.S. SANTIBAÑEZ VIDRIAL;ARRABALDE;P.A.C. Santibañez Vidriales
G.A.P. BURGOS;170208;BURGOS RURAL NORTE;C.S. BURGOS RURAL NORTE;ARRAYA DE OCA;P.A.C. Burgos Rural Norte Sur
G.A.P. VALLADOLID OESTE;170916;PISUERGA;C.S. PISUERGA;ARROYO DE LA ENCOMIENDA;P.A.C. Pisuerga
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;ASPARIEGOS;P.A.C. Zamora Integrado
G.A.P. LEON;170303;ASTORGA II;C.S. ASTORGA II;ASTORGA;P.A.C. Astorga
G.A.P. LEON;170302;ASTORGA I;C.S. ASTORGA I;ASTORGA;P.A.C. Astorga
G.A.S. PALENCIA;170505;FROMISTA;C.S. FROMISTA;ASTUDILLO;P.A.C. Frómista
G.A.S. ZAMORA;171109;CARBALLEDA;C.S. MOMBUEY;ASTURIANOS;P.A.C. Mombuey
G.A.P. SALAMANCA;170606;CIUDAD RODRIGO;C.S. CIUDAD RODRIGO;ATALAYA (LA);P.A.C. Ciudad Rodrigo
G.A.P. BURGOS;170208;BURGOS RURAL NORTE;C.S. BURGOS RURAL NORTE;ATAPUERCA;P.A.C. Burgos Rural Norte Sur
G.A.P. VALLADOLID ESTE;171021;MEDINA DEL CAMPO RURAL;C.S. MEDINA CAMPO RURAL;ATAQUINES;P.A.C. Medina
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;AUSEJO DE LA SIERRA;P.A.C. Soria Rural Norte Y Sur
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;AUSINES (LOS);P.A.C. Burgos Rural Norte Sur
G.A.S. PALENCIA;170511;PALENCIA RURAL;C.S. PALENCIA RURAL;AUTILLA DEL PINO;P.A.C. Palencia
G.A.S. PALENCIA;170518;VILLARRAMIEL;C.S. VILLARRAMIEL;AUTILLO DE CAMPOS;P.A.C. Villarramiel
G.A.S. AVILA;170118;SAN PEDRO DEL ARROYO;C.S. SAN PEDRO ARROYO;AVEINTE;P.A.C. San Pedro Arroyo
G.A.S. AVILA;170108;BARCO DE AVILA EL;C.S. BARCO DE AVILA;AVELLANEDA;P.A.C. Barco de Ávila
G.A.P. BURGOS;170216;LERMA;C.S. LERMA;AVELLANOSA DE MUÑO;P.A.C. Lerma
G.A.S. AVILA;170122;AVILA SUR ESTE;C.S. AVILA SUR ESTE;AVILA;P.A.C. Ávila Urbano
G.A.S. AVILA;170104;AVILA NORTE;C.S. AVILA NORTE;AVILA;P.A.C. Ávila Urbano
G.A.S. AVILA;170105;AVILA RURAL;C.S. AVILA RURAL;AVILA;P.A.C. Ávila Rural
G.A.S. AVILA;170107;AVILA SUR OESTE;C.S. AVILA SUR OESTE;AVILA;P.A.C. Ávila Urbano
G.A.S. AVILA;170103;AVILA ESTACION;C.S. AVILA ESTACION;AVILA;P.A.C. Ávila Urbano
G.A.S. SEGOVIA;170707;RIAZA;C.S. RIAZA;AYLLON;P.A.C. Riaza
G.A.S. ZAMORA;171118;VIDRIALES;C.S. SANTIBAÑEZ VIDRIAL;AYOO DE VIDRIALES;P.A.C. Santibañez Vidriales
G.A.S. PALENCIA;170514;SALDAÑA;C.S. SALDAÑA;AYUELA;P.A.C. Saldaña
G.A.P. SALAMANCA;170633;VILLORIA;C.S. VILLORIA;BABILAFUENTE;P.A.C. Villoria
G.A.P. VALLADOLID ESTE;171015;PEÑAFIEL;C.S. PEÑAFIEL;BAHABON;P.A.C. Peñafiel
G.A.P. BURGOS;170216;LERMA;C.S. LERMA;BAHABON DE ESGUEVA;P.A.C. Lerma
G.A.P. BURGOS;170223;PAMPLIEGA;C.S. PAMPLIEGA;BALBASES (LOS);P.A.C. Pampliega
G.A.S. EL BIERZO;170410;VILLAFRANCA DEL BIERZO;C.S. VILLAFRANCA BIERZO;BALBOA;P.A.C. Villafranca Bierzo
G.A.S. PALENCIA;170502;BALTANAS;C.S. BALTANAS;BALTANAS;P.A.C. Baltanás
